"","Treatment","term","contrast","null.value","estimate","std.error","df","statistic","adj.p.value","p.adj.signif","Metric","group1","group2","y.position"
"61","Ampicillin High","Time","Time0 - Time12",0,-0.226524837506268,0.216756329027368,419.462098793432,-1.04506677393335,0.834167741944907,"ns","Shannon","0","12",3.5
"62","Ampicillin High","Time","Time0 - Time24",0,-0.356440976666247,0.216756329027368,419.462098793432,-1.64443169094842,0.469836238791818,"ns","Shannon","0","24",3.5
"63","Ampicillin High","Time","Time0 - Time48",0,-0.458363622199758,0.216756329027368,419.462098793432,-2.11464931269381,0.2157082049585,"ns","Shannon","0","48",3.5
"64","Ampicillin High","Time","Time0 - Time96",0,-0.308806502171864,0.216756329027368,419.462098793432,-1.42467121286628,0.612061007112645,"ns","Shannon","0","96",3.5
"65","Ampicillin High","Time","Time12 - Time24",0,-0.129916139159979,0.216756329027368,419.462098793432,-0.599364917015067,0.975138637534021,"ns","Shannon","12","24",3.5
"66","Ampicillin High","Time","Time12 - Time48",0,-0.23183878469349,0.216756329027368,419.462098793432,-1.06958253876046,0.822072069303943,"ns","Shannon","12","48",3.5
"67","Ampicillin High","Time","Time12 - Time96",0,-0.0822816646655962,0.216756329027368,419.462098793432,-0.379604438932933,0.995581696197062,"ns","Shannon","12","96",3.5
"68","Ampicillin High","Time","Time24 - Time48",0,-0.101922645533512,0.216756329027368,419.462098793432,-0.470217621745396,0.989963305368017,"ns","Shannon","24","48",3.5
"69","Ampicillin High","Time","Time24 - Time96",0,0.0476344744943826,0.216756329027368,419.462098793432,0.219760478082134,0.999480977192583,"ns","Shannon","24","96",3.5
"70","Ampicillin High","Time","Time48 - Time96",0,0.149557120027894,0.216756329027368,419.462098793432,0.68997809982753,0.958603880611429,"ns","Shannon","48","96",3.5
"71","Streptomycin High","Time","Time0 - Time12",0,0.14017073861122,0.216756329027368,419.462098793432,0.646674259709951,0.967205648667159,"ns","Shannon","0","12",3.5
"72","Streptomycin High","Time","Time0 - Time24",0,0.031693457500385,0.216756329027368,419.462098793432,0.146216987723497,0.999896991830742,"ns","Shannon","0","24",3.5
"73","Streptomycin High","Time","Time0 - Time48",0,-0.0602455890852942,0.216756329027368,419.462098793432,-0.277941545493177,0.998689896028341,"ns","Shannon","0","48",3.5
"74","Streptomycin High","Time","Time0 - Time96",0,-0.311371013030566,0.216756329027368,419.462098793432,-1.43650252072341,0.604387410949006,"ns","Shannon","0","96",3.5
"75","Streptomycin High","Time","Time12 - Time24",0,-0.108477281110835,0.216756329027368,419.462098793432,-0.500457271986454,0.987295260674853,"ns","Shannon","12","24",3.5
"76","Streptomycin High","Time","Time12 - Time48",0,-0.200416327696514,0.216756329027368,419.462098793432,-0.924615805203128,0.887310132689614,"ns","Shannon","12","48",3.5
"77","Streptomycin High","Time","Time12 - Time96",0,-0.451541751641786,0.216756329027368,419.462098793432,-2.08317678043336,0.229274368202992,"ns","Shannon","12","96",3.5
"78","Streptomycin High","Time","Time24 - Time48",0,-0.0919390465856792,0.216756329027368,419.462098793432,-0.424158533216674,0.993226594260188,"ns","Shannon","24","48",3.5
"79","Streptomycin High","Time","Time24 - Time96",0,-0.343064470530951,0.216756329027368,419.462098793432,-1.5827195084469,0.509322925645739,"ns","Shannon","24","96",3.5
"80","Streptomycin High","Time","Time48 - Time96",0,-0.251125423945272,0.216756329027368,419.462098793432,-1.15856097523023,0.774925945011436,"ns","Shannon","48","96",3.5
"81","Ciprofloxacin High","Time","Time0 - Time12",0,-0.0917470779427281,0.216756329027368,419.462098793432,-0.423272890597551,0.993280645985391,"ns","Shannon","0","12",3.5
"82","Ciprofloxacin High","Time","Time0 - Time24",0,-0.163665975768252,0.216756329027369,419.462098793432,-0.755068959244032,0.943103088383262,"ns","Shannon","0","24",3.5
"83","Ciprofloxacin High","Time","Time0 - Time48",0,0.138058565373062,0.222339390521128,423.14116896092,0.620936151032324,0.971705440828961,"ns","Shannon","0","48",3.5
"84","Ciprofloxacin High","Time","Time0 - Time96",0,-0.0169326275175432,0.222339390521128,423.14116896092,-0.0761566696654866,0.999992363776913,"ns","Shannon","0","96",3.5
"85","Ciprofloxacin High","Time","Time12 - Time24",0,-0.0719188978255241,0.216756329027368,419.462098793432,-0.331796068646483,0.997379968990326,"ns","Shannon","12","24",3.5
"86","Ciprofloxacin High","Time","Time12 - Time48",0,0.22980564331579,0.222339390521127,423.14116896092,1.03358043204654,0.8396938053287,"ns","Shannon","12","48",3.5
"87","Ciprofloxacin High","Time","Time12 - Time96",0,0.0748144504251849,0.222339390521127,423.14116896092,0.336487611348723,0.997232766941839,"ns","Shannon","12","96",3.5
"88","Ciprofloxacin High","Time","Time24 - Time48",0,0.301724541141314,0.222339390521127,423.14116896092,1.35704492323255,0.655519857181666,"ns","Shannon","24","48",3.5
"89","Ciprofloxacin High","Time","Time24 - Time96",0,0.146733348250709,0.222339390521127,423.14116896092,0.659952102534733,0.964709221410125,"ns","Shannon","24","96",3.5
"90","Ciprofloxacin High","Time","Time48 - Time96",0,-0.154991192890605,0.227966031155923,427.073668628914,-0.679887227516783,0.960729129116014,"ns","Shannon","48","96",3.5
