"","term","df","SumOfSqs","R2","statistic","p.value","Time","Treatment"
"21","Total",43,1521.87948008071,1,NA,NA,"24","Blank-Ampicillin High-Ampicillin Low"
"22","Treatment",2,355.881848414106,0.169748200012181,4.19130449377016,0.001,"48","Blank-Ampicillin High-Ampicillin Low"
"23","Residual",41,1740.64611705809,0.830251799987819,NA,NA,"48","Blank-Ampicillin High-Ampicillin Low"
"24","Total",43,2096.5279654722,1,NA,NA,"48","Blank-Ampicillin High-Ampicillin Low"
"25","Treatment",2,242.116203709662,0.177155756738904,4.3059365898168,0.001,"96","Blank-Ampicillin High-Ampicillin Low"
"26","Residual",40,1124.56929478361,0.822844243261096,NA,NA,"96","Blank-Ampicillin High-Ampicillin Low"
"27","Total",42,1366.68549849328,1,NA,NA,"96","Blank-Ampicillin High-Ampicillin Low"
"28","Treatment",2,200.762307792004,0.138528938794812,3.29650451788913,0.001,"12","Blank-Streptomycin High-Streptomycin Low"
"29","Residual",41,1248.48222940446,0.861471061205188,NA,NA,"12","Blank-Streptomycin High-Streptomycin Low"
"30","Total",43,1449.24453719646,1,NA,NA,"12","Blank-Streptomycin High-Streptomycin Low"
"31","Treatment",2,265.042957153938,0.168706139608294,4.16035294707984,0.001,"24","Blank-Streptomycin High-Streptomycin Low"
"32","Residual",41,1305.9903067766,0.831293860391707,NA,NA,"24","Blank-Streptomycin High-Streptomycin Low"
"33","Total",43,1571.03326393054,1,NA,NA,"24","Blank-Streptomycin High-Streptomycin Low"
"34","Treatment",2,387.273801553439,0.195690372230496,4.98769689211631,0.001,"48","Blank-Streptomycin High-Streptomycin Low"
"35","Residual",41,1591.73925432283,0.804309627769504,NA,NA,"48","Blank-Streptomycin High-Streptomycin Low"
"36","Total",43,1979.01305587627,1,NA,NA,"48","Blank-Streptomycin High-Streptomycin Low"
"37","Treatment",2,265.453596417798,0.230083436883844,5.97684081383069,0.001,"96","Blank-Streptomycin High-Streptomycin Low"
"38","Residual",40,888.273938310439,0.769916563116155,NA,NA,"96","Blank-Streptomycin High-Streptomycin Low"
"39","Total",42,1153.72753472824,1,NA,NA,"96","Blank-Streptomycin High-Streptomycin Low"
"40","Treatment",2,123.848985452751,0.0847672905901756,1.89867499187081,0.005,"12","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"41","Residual",41,1337.19789466429,0.915232709409824,NA,NA,"12","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"42","Total",43,1461.04688011704,1,NA,NA,"12","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"43","Treatment",2,199.65631438763,0.120765769901258,2.81574374407347,0.001,"24","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"44","Residual",41,1453.59621363315,0.879234230098742,NA,NA,"24","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"45","Total",43,1653.25252802078,1,NA,NA,"24","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"46","Treatment",2,265.289899891408,0.163548117580785,3.91052064125353,0.001,"48","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"47","Residual",40,1356.80091849033,0.836451882419215,NA,NA,"48","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"48","Total",42,1622.09081838173,1,NA,NA,"48","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"49","Treatment",2,413.709822997526,0.257951539144034,6.77860716469435,0.001,"96","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"50","Residual",39,1190.11787413639,0.742048460855966,NA,NA,"96","Blank-Ciprofloxacin High-Ciprofloxacin Low"
"51","Total",41,1603.82769713392,1,NA,NA,"96","Blank-Ciprofloxacin High-Ciprofloxacin Low"
