"","Samples","Time","Treatment","Fragment","TreatmentTank","Antibiotic","Dose","Pretreatment","PretreatmentAbx","PretreatmentDose","Tank","CoralID","Sample_control","quant_reading","PreQC","PostQC","is.neg","PostDecontam","Observed","Shannon","InvSimpson","PD","SR"
"32","G7_T0_B2_d","0","Blank","d","B2","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","2","B2_d","True Sample"," 2.039"," 68927","11495","FALSE"," 8630",19,2.42859835722579,8.97630614230677,1.99991,19
"33","G7_T0_B3_a","0","Blank","a","B3","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","3","B3_a","True Sample"," 3.878"," 63226","12358","FALSE","10726",10,1.71670808557709,4.17241904171885,1.53786,10
"34","G7_T0_B3_b","0","Blank","b","B3","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","3","B3_b","True Sample","24.449"," 77146","12683","FALSE","12572",25,1.08082256250149,1.67691642704649,3.38468,25
"35","G7_T0_B3_c","0","Blank","c","B3","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","3","B3_c","True Sample"," 2.810"," 74942","15404","FALSE","12315",11,1.45831388905132,2.78720907390407,1.84745,11
"36","G7_T0_B3_d","0","Blank","d","B3","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","3","B3_d","True Sample"," 2.868"," 78319","14329","FALSE","13004",14,1.93520231169025,5.37443009543268,2.33976,14
"37","G7_T0_B4_a","0","Blank","a","B4","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","4","B4_a","True Sample"," 2.386"," 64658","12949","FALSE","11418",14,1.74299496865038,4.79056970604681,2.55283,14
"38","G7_T0_B4_b","0","Blank","b","B4","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","4","B4_b","True Sample"," 4.592"," 69050","12421","FALSE","10145",24,2.16299408825687,5.41099540238543,3.13891,24
"39","G7_T0_B4_c","0","Blank","c","B4","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","4","B4_c","True Sample","12.172"," 81933","16790","FALSE","16219",12,1.08390308237095,1.81335052486343,1.93252,12
"40","G7_T0_B4_d","0","Blank","d","B4","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","4","B4_d","True Sample"," 4.206"," 76144","15557","FALSE","14845",12,1.72056432559457,3.44929875756259,2.03946,12
"41","G7_T0_B5_a","0","Blank","a","B5","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","5","B5_a","True Sample"," 2.918"," 62363","13513","FALSE","11883",18,1.99492400590561,5.20003278100665,2.13384,18
"42","G7_T0_B5_b","0","Blank","b","B5","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","5","B5_b","True Sample","12.727"," 84828","15645","FALSE","12952",41,3.04413534816573,14.8148850483439,5.57164,41
"43","G7_T0_B5_c","0","Blank","c","B5","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","5","B5_c","True Sample"," 7.860"," 61432","12801","FALSE","11403",30,2.93286060983155,12.3032222631236,3.49036,30
"44","G7_T0_B5_d","0","Blank","d","B5","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","5","B5_d","True Sample","10.806"," 31387"," 6788","FALSE"," 6636",11,1.34152804993305,2.36534918609281,1.71181,11
"45","G7_T0_B6_a","0","Blank","a","B6","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","6","B6_a","True Sample"," 7.952"," 39970"," 6355","FALSE"," 6098",11,1.8500608142774,4.96340777253774,1.91545,11
"46","G7_T0_B6_b","0","Blank","b","B6","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","6","B6_b","True Sample"," 2.144"," 66985","12523","FALSE"," 8734",9,1.1481408609733,2.52845216653964,1.58806,9
"47","G7_T0_B6_c","0","Blank","c","B6","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","6","B6_c","True Sample"," 3.631"," 69418","12801","FALSE","11160",17,1.78514002751916,3.18957208956012,2.41005,17
"48","G7_T0_B6_d","0","Blank","d","B6","Blank","Blank","Pretreatment","Pretreatment","Pretreatment","6","B6_d","True Sample"," 5.551"," 63283","13428","FALSE","13428",8,0.848121957669137,1.61492865891156,1.2563,8
"49","G7_T0_C1_1_a","0","Ciprofloxacin Low","a","C1_1","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","19","C1_1_a","True Sample","19.074"," 71640","13332","FALSE","13332",13,1.66795167180366,3.47233603768123,1.92208,13
"50","G7_T0_C1_1_b","0","Ciprofloxacin Low","b","C1_1","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","19","C1_1_b","True Sample","14.586"," 66450"," 9779","FALSE"," 9617",23,1.85208519644088,2.95968319551075,3.65094,23
"51","G7_T0_C1_1_c","0","Ciprofloxacin Low","c","C1_1","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","19","C1_1_c","True Sample","10.971"," 70512","13622","FALSE","13542",11,0.599486767534476,1.30671468407559,2.14389,11
"52","G7_T0_C1_1_d","0","Ciprofloxacin Low","d","C1_1","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","19","C1_1_d","True Sample","29.784"," 66132","12803","FALSE","12325",22,1.65082653474945,2.78209249411476,3.22765,22
"53","G7_T0_C1_2_a","0","Ciprofloxacin Low","a","C1_2","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","20","C1_2_a","True Sample","19.164"," 84178","16062","FALSE","15473",18,1.80915859167837,3.92209772612462,2.38226,18
"54","G7_T0_C1_2_b","0","Ciprofloxacin Low","b","C1_2","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","20","C1_2_b","True Sample"," 7.857","101789","18798","FALSE","18140",50,2.3464327755639,4.41576122954575,5.39609,50
"55","G7_T0_C1_2_c","0","Ciprofloxacin Low","c","C1_2","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","20","C1_2_c","True Sample"," 9.004"," 91331","13657","FALSE","12799",35,3.18761127768685,15.9619365276786,4.33781,35
"56","G7_T0_C1_2_d","0","Ciprofloxacin Low","d","C1_2","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","20","C1_2_d","True Sample","11.551"," 68368","14321","FALSE","13983",25,2.60988934000757,8.03987779385753,3.1203,25
"57","G7_T0_C1_3_a","0","Ciprofloxacin Low","a","C1_3","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","21","C1_3_a","True Sample","17.371"," 84454","14500","FALSE","14351",11,1.22754746970204,2.18078612280303,1.92854,11
"58","G7_T0_C1_3_b","0","Ciprofloxacin Low","b","C1_3","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","21","C1_3_b","True Sample","22.895"," 68068","13000","FALSE","12950",14,0.983241666988902,1.6276033189566,2.43314,14
"59","G7_T0_C1_3_c","0","Ciprofloxacin Low","c","C1_3","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","21","C1_3_c","True Sample"," 3.842"," 75181","13439","FALSE"," 9296",11,1.67597649191829,4.16301847480991,1.45832,11
"60","G7_T0_C1_3_d","0","Ciprofloxacin Low","d","C1_3","Ciprofloxacin","Low","Pretreatment","Pretreatment","Pretreatment","21","C1_3_d","True Sample"," 9.010"," 58531"," 7379","FALSE"," 7158",16,2.29190150388714,8.13374743868293,2.48518,16
"61","G7_T0_C2_1_a","0","Ciprofloxacin High","a","C2_1","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","22","C2_1_a","True Sample","10.041"," 76197","14618","FALSE","14618",13,0.777136618080235,1.46294323815347,2.13114,13
"62","G7_T0_C2_1_b","0","Ciprofloxacin High","b","C2_1","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","22","C2_1_b","True Sample","16.893"," 57530"," 6641","FALSE"," 6490",20,2.461915958174,8.02702216742442,2.60103,20
"63","G7_T0_C2_1_c","0","Ciprofloxacin High","c","C2_1","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","22","C2_1_c","True Sample","12.350"," 70577","12039","FALSE","12039",16,1.90147056186711,4.42771751162276,2.75822,16
"64","G7_T0_C2_1_d","0","Ciprofloxacin High","d","C2_1","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","22","C2_1_d","True Sample","10.381"," 84387","15672","FALSE","15523",28,1.33120128532713,1.98987931461552,3.70126,28
"65","G7_T0_C2_2_a","0","Ciprofloxacin High","a","C2_2","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","23","C2_2_a","True Sample","18.269"," 75985","11627","FALSE","11627",15,1.94088288126881,4.60958476491671,2.14682,15
"66","G7_T0_C2_2_b","0","Ciprofloxacin High","b","C2_2","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","23","C2_2_b","True Sample","23.800"," 78962","15629","FALSE","15513",15,1.07664920158933,1.74286373984538,2.81979,15
"67","G7_T0_C2_2_c","0","Ciprofloxacin High","c","C2_2","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","23","C2_2_c","True Sample","25.855"," 78174","16352","FALSE","16352",26,1.98512946506964,3.0937178717399,3.83298,26
"68","G7_T0_C2_2_d","0","Ciprofloxacin High","d","C2_2","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","23","C2_2_d","True Sample","21.396"," 75124","13989","FALSE","13953",18,1.27959840587336,1.9655500403095,2.63028,18
"69","G7_T0_C2_3_a","0","Ciprofloxacin High","a","C2_3","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","24","C2_3_a","True Sample","11.032"," 81998","14580","FALSE","14580",12,1.51509400085722,3.00292653208111,1.77659,12
"70","G7_T0_C2_3_b","0","Ciprofloxacin High","b","C2_3","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","24","C2_3_b","True Sample"," 6.070","130133","23261","FALSE","22801",56,2.24269777652599,3.09740675195025,6.40321,56
"71","G7_T0_C2_3_c","0","Ciprofloxacin High","c","C2_3","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","24","C2_3_c","True Sample","20.450"," 79904","16655","FALSE","16577",16,1.57270180912863,2.90206348321911,2.54542,16
"72","G7_T0_C2_3_d","0","Ciprofloxacin High","d","C2_3","Ciprofloxacin","High","Pretreatment","Pretreatment","Pretreatment","24","C2_3_d","True Sample","16.511"," 73533","13913","FALSE","13913",17,1.50814837407944,2.48119847047017,2.47067,17
"73","G7_T0_M1_1_a","0","Mixture Low","a","M1_1","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","25","M1_1_a","True Sample"," 4.744"," 52761"," 8281","FALSE"," 8281",9,1.30280697300883,2.82573872722398,1.4014,9
"74","G7_T0_M1_1_b","0","Mixture Low","b","M1_1","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","25","M1_1_b","True Sample"," 7.030"," 59571","11354","FALSE","11263",9,1.52455118095533,2.86634267057835,2.10987,9
"75","G7_T0_M1_1_c","0","Mixture Low","c","M1_1","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","25","M1_1_c","True Sample","25.287"," 58476","11418","FALSE","11088",13,1.33391711208468,2.43991609030969,2.25203,13
"76","G7_T0_M1_1_d","0","Mixture Low","d","M1_1","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","25","M1_1_d","True Sample","12.491"," 77966","14899","FALSE","14796",24,0.931499874024683,1.582162722778,3.12087,24
"77","G7_T0_M1_2_a","0","Mixture Low","a","M1_2","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","26","M1_2_a","True Sample","17.968"," 83906","16230","FALSE","15270",33,2.3072905051878,5.26033392599762,3.94889,33
"78","G7_T0_M1_2_b","0","Mixture Low","b","M1_2","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","26","M1_2_b","True Sample","21.108"," 75220","14362","FALSE","14362",16,1.41439045915113,2.54240528625043,2.96735,16
"79","G7_T0_M1_2_c","0","Mixture Low","c","M1_2","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","26","M1_2_c","True Sample","26.783"," 76911","10875","FALSE","10846",15,1.80564462323864,4.11697613701824,1.72338,15
"80","G7_T0_M1_2_d","0","Mixture Low","d","M1_2","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","26","M1_2_d","True Sample","24.016"," 77903","11869","FALSE","11196",32,1.88319044548187,2.85438112107759,4.17409,32
"81","G7_T0_M1_3_a","0","Mixture Low","a","M1_3","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","27","M1_3_a","True Sample","14.574"," 89123","11193","FALSE","11193",15,1.70118619982823,3.03987735432421,2.11646,15
"82","G7_T0_M1_3_b","0","Mixture Low","b","M1_3","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","27","M1_3_b","True Sample"," 6.046","139288","24467","FALSE","18333",60,2.94746922481262,10.5284436433469,6.44952,60
"83","G7_T0_M1_3_c","0","Mixture Low","c","M1_3","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","27","M1_3_c","True Sample","12.489"," 83622","14904","FALSE","14863",15,1.07347444421841,1.67600469442211,2.32657,15
"84","G7_T0_M1_3_d","0","Mixture Low","d","M1_3","Mixture","Low","Pretreatment","Pretreatment","Pretreatment","27","M1_3_d","True Sample","17.226"," 58022","11412","FALSE","11412",8,0.458151909291415,1.20855245194989,1.33142,8
"85","G7_T0_M2_1_b","0","Mixture High","b","M2_1","Mixture","High","Pretreatment","Pretreatment","Pretreatment","28","M2_1_b","True Sample"," 8.074"," 68683","12627","FALSE","11901",34,2.7213764042071,8.99971416907799,4.39272,34
"86","G7_T0_M2_1_c","0","Mixture High","c","M2_1","Mixture","High","Pretreatment","Pretreatment","Pretreatment","28","M2_1_c","True Sample"," 9.750"," 64768","12996","FALSE","12996",15,1.16647207677681,1.85933574709821,2.13157,15
"87","G7_T0_M2_1_d","0","Mixture High","d","M2_1","Mixture","High","Pretreatment","Pretreatment","Pretreatment","28","M2_1_d","True Sample"," 3.643"," 73075","16406","FALSE","16077",8,1.09603693961758,2.27442316534565,1.53867,8
"88","G7_T0_M2_2_a","0","Mixture High","a","M2_2","Mixture","High","Pretreatment","Pretreatment","Pretreatment","29","M2_2_a","True Sample"," 7.983"," 65098","13540","FALSE","12525",24,1.91657077513426,3.74648691921585,2.89704,24
"89","G7_T0_M2_2_b","0","Mixture High","b","M2_2","Mixture","High","Pretreatment","Pretreatment","Pretreatment","29","M2_2_b","True Sample"," 7.615"," 69658"," 7343","FALSE"," 6624",19,2.46135166126315,8.33702941637459,2.76722,19
"90","G7_T0_M2_2_c","0","Mixture High","c","M2_2","Mixture","High","Pretreatment","Pretreatment","Pretreatment","29","M2_2_c","True Sample"," 2.547"," 58662"," 9765","FALSE"," 6946",14,1.99096670411442,5.67649002186584,1.86117,14
"91","G7_T0_M2_2_d","0","Mixture High","d","M2_2","Mixture","High","Pretreatment","Pretreatment","Pretreatment","29","M2_2_d","True Sample"," 6.812","128888","22155","FALSE","20824",40,2.59542903317827,5.7446172935959,4.82401,40
"92","G7_T0_M2_3_a","0","Mixture High","a","M2_3","Mixture","High","Pretreatment","Pretreatment","Pretreatment","30","M2_3_a","True Sample","11.004"," 83869","14245","FALSE","12250",37,2.74766500416011,7.98309882182234,5.87467,37
"93","G7_T0_M2_3_b","0","Mixture High","b","M2_3","Mixture","High","Pretreatment","Pretreatment","Pretreatment","30","M2_3_b","True Sample"," 3.660"," 74079","12780","FALSE","12254",14,1.96021870884961,5.05598594355012,2.63488,14
"94","G7_T0_M2_3_c","0","Mixture High","c","M2_3","Mixture","High","Pretreatment","Pretreatment","Pretreatment","30","M2_3_c","True Sample"," 4.531"," 72797","14807","FALSE","13531",8,0.549187348639851,1.314947077062,1.43924,8
"95","G7_T0_M2_3_d","0","Mixture High","d","M2_3","Mixture","High","Pretreatment","Pretreatment","Pretreatment","30","M2_3_d","True Sample"," 4.276"," 76201","15281","FALSE","14990",8,0.877724985713279,1.60367125252498,1.11429,8
"96","G7_T0_S1_1_a","0","Streptomycin Low","a","S1_1","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","13","S1_1_a","True Sample","12.961","105036","19005","FALSE","18978",25,1.36288497606945,2.26969866935738,2.96199,25
"97","G7_T0_S1_1_b","0","Streptomycin Low","b","S1_1","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","13","S1_1_b","True Sample"," 2.059"," 67276","11075","FALSE"," 4986",11,1.96086215749013,5.82194594504726,2.06728,11
"98","G7_T0_S1_1_c","0","Streptomycin Low","c","S1_1","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","13","S1_1_c","True Sample"," 3.949"," 91848","18107","FALSE","15988",10,1.50037152675827,3.21996895949923,1.59381,10
"99","G7_T0_S1_1_d","0","Streptomycin Low","d","S1_1","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","13","S1_1_d","True Sample"," 1.776"," 69553"," 9033","FALSE"," 7244",12,1.86292707466078,4.53822638851575,2.25668,12
"100","G7_T0_S1_2_a","0","Streptomycin Low","a","S1_2","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","14","S1_2_a","True Sample"," 3.921"," 47719"," 7523","FALSE"," 7523",8,0.850004861971201,1.76554669800394,1.50561,8
"101","G7_T0_S1_2_b","0","Streptomycin Low","b","S1_2","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","14","S1_2_b","True Sample","13.910"," 84950","12387","FALSE","11463",37,2.24525541401483,4.59152170008254,4.54907,37
"102","G7_T0_S1_2_c","0","Streptomycin Low","c","S1_2","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","14","S1_2_c","True Sample"," 4.370"," 61822"," 9717","FALSE"," 8201",7,0.994462545403803,2.17619899860027,1.26338,7
"103","G7_T0_S1_2_d","0","Streptomycin Low","d","S1_2","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","14","S1_2_d","True Sample"," 4.539"," 67669","11184","FALSE","10271",15,1.51482417543417,2.66709738511371,1.91328,15
"104","G7_T0_S1_3_a","0","Streptomycin Low","a","S1_3","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","15","S1_3_a","True Sample"," 7.634"," 75435"," 9305","FALSE"," 7839",18,2.29659620083792,7.81100614507475,2.3136,18
"105","G7_T0_S1_3_b","0","Streptomycin Low","b","S1_3","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","15","S1_3_b","True Sample","22.952"," 78269","14821","FALSE","14814",9,1.0225607932536,1.8767362625533,1.41396,9
"106","G7_T0_S1_3_c","0","Streptomycin Low","c","S1_3","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","15","S1_3_c","True Sample","16.692","109840","22458","FALSE","22458",14,0.540953135086577,1.22630713303617,2.2181,14
"107","G7_T0_S1_3_d","0","Streptomycin Low","d","S1_3","Streptomycin","Low","Pretreatment","Pretreatment","Pretreatment","15","S1_3_d","True Sample","13.720"," 93962","18015","FALSE","17781",22,1.24678187860088,1.80275027582079,3.12648,22
"108","G7_T0_S2_1_a","0","Streptomycin High","a","S2_1","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","16","S2_1_a","True Sample","11.921"," 80272","10009","FALSE","10009",15,2.36975870106761,8.65725911176522,2.01918,15
"109","G7_T0_S2_1_b","0","Streptomycin High","b","S2_1","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","16","S2_1_b","True Sample","26.696"," 56728","10979","FALSE","10928",14,1.20699648312599,1.95795257682223,2.25876,14
"110","G7_T0_S2_1_c","0","Streptomycin High","c","S2_1","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","16","S2_1_c","True Sample","29.168"," 74315","14932","FALSE","14725",25,1.7608020747223,3.44199007605421,3.46923,25
"111","G7_T0_S2_1_d","0","Streptomycin High","d","S2_1","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","16","S2_1_d","True Sample","19.056"," 79399","14068","FALSE","13799",23,1.76266830909028,2.6637951665117,3.50113,23
"112","G7_T0_S2_2_a","0","Streptomycin High","a","S2_2","Streptomycin","High","Pretreatment","Pretreatment","Pretreatment","17","S2_2_a","True Sample"," 5.011"," 73612","11910","FALSE","11064",19,2.51503893424006,10.6326783886984,2.52466,19
